model_type,cl_method,train_task_id,eval_task_id,metric_name,metric_value,timestamp
forecasting,sdft,5,3,smape,86.00329160690308,2026-05-06T15:56:20
forecasting,sdft,5,3,rmse,1013.0443115234375,2026-05-06T15:56:20
forecasting,sdft,5,4,mase,4.083452166206339,2026-05-06T15:56:32
forecasting,sdft,5,4,smape,122.48659133911133,2026-05-06T15:56:32
forecasting,sdft,5,4,rmse,1963.446533203125,2026-05-06T15:56:32
forecasting,sdft,5,5,mase,2.4757616181150195,2026-05-06T15:56:42
forecasting,sdft,5,5,smape,93.41033697128296,2026-05-06T15:56:42
forecasting,sdft,5,5,rmse,1268.6065673828125,2026-05-06T15:56:42
forecasting,sdft,6,1,mase,1.1390819675476513,2026-05-06T15:57:25
forecasting,sdft,6,1,smape,68.82391571998596,2026-05-06T15:57:25
forecasting,sdft,6,1,rmse,691.0507202148438,2026-05-06T15:57:25
forecasting,sdft,6,2,mase,3.935339385873631,2026-05-06T15:57:39
forecasting,sdft,6,2,smape,122.18364477157593,2026-05-06T15:57:39
forecasting,sdft,6,2,rmse,1909.0447998046875,2026-05-06T15:57:39
forecasting,sdft,6,3,mase,1.758638373895484,2026-05-06T15:57:48
forecasting,sdft,6,3,smape,84.62157845497131,2026-05-06T15:57:48
forecasting,sdft,6,3,rmse,967.4520263671875,2026-05-06T15:57:48
forecasting,sdft,6,4,mase,3.5660776580484703,2026-05-06T15:58:01
forecasting,sdft,6,4,smape,117.41597652435303,2026-05-06T15:58:01
forecasting,sdft,6,4,rmse,1715.455078125,2026-05-06T15:58:01
forecasting,sdft,6,5,mase,2.2902556897041073,2026-05-06T15:58:09
forecasting,sdft,6,5,smape,91.61674380302429,2026-05-06T15:58:09
forecasting,sdft,6,5,rmse,1192.2137451171875,2026-05-06T15:58:09
forecasting,sdft,6,6,mase,3.414304518567491,2026-05-06T15:58:21
forecasting,sdft,6,6,smape,113.69317770004272,2026-05-06T15:58:21
forecasting,sdft,6,6,rmse,1649.392822265625,2026-05-06T15:58:21
rl,naive,1,1,avg_episode_reward,5900.182236097908,2026-05-06T16:00:53
rl,naive,1,1,cumulative_profit,462044982.3902156,2026-05-06T16:00:53
rl,naive,1,1,pricing_regret,31.883263472243474,2026-05-06T16:00:53
rl,naive,2,1,avg_episode_reward,6039.151091957293,2026-05-06T16:03:30
rl,naive,2,1,cumulative_profit,479867317.9964063,2026-05-06T16:03:30
rl,naive,2,1,pricing_regret,31.781468155901337,2026-05-06T16:03:30
rl,naive,2,2,avg_episode_reward,7839.0262987316255,2026-05-06T16:03:38
rl,naive,2,2,cumulative_profit,478567765.1582432,2026-05-06T16:03:38
rl,naive,2,2,pricing_regret,21.77116540339013,2026-05-06T16:03:38
rl,naive,3,1,avg_episode_reward,6005.8436918254865,2026-05-06T16:06:20
rl,naive,3,1,cumulative_profit,454222000.3014191,2026-05-06T16:06:20
rl,naive,3,1,pricing_regret,31.805718646811965,2026-05-06T16:06:20
rl,naive,3,2,avg_episode_reward,7728.827096973041,2026-05-06T16:06:28
rl,naive,3,2,cumulative_profit,440932311.86005056,2026-05-06T16:06:28
rl,naive,3,2,pricing_regret,21.827827303571432,2026-05-06T16:06:28
rl,naive,3,3,avg_episode_reward,6109.279042346765,2026-05-06T16:06:34
rl,naive,3,3,cumulative_profit,507815856.81262213,2026-05-06T16:06:34
rl,naive,3,3,pricing_regret,35.108383205140456,2026-05-06T16:06:34
rl,naive,4,1,avg_episode_reward,6045.360793043337,2026-05-06T16:09:10
rl,naive,4,1,cumulative_profit,482714956.036102,2026-05-06T16:09:10
rl,naive,4,1,pricing_regret,31.77690705864301,2026-05-06T16:09:10
rl,naive,4,2,avg_episode_reward,7846.984699941267,2026-05-06T16:09:19
rl,naive,4,2,cumulative_profit,488088296.7694853,2026-05-06T16:09:19
rl,naive,4,2,pricing_regret,21.767045782017735,2026-05-06T16:09:19
rl,naive,4,3,avg_episode_reward,6140.602293468657,2026-05-06T16:09:24
rl,naive,4,3,cumulative_profit,534074088.0128133,2026-05-06T16:09:24
rl,naive,4,3,pricing_regret,35.08568327993671,2026-05-06T16:09:24
rl,naive,4,4,avg_episode_reward,7876.929549574663,2026-05-06T16:09:32
rl,naive,4,4,cumulative_profit,529017840.45790297,2026-05-06T16:09:32
rl,naive,4,4,pricing_regret,24.105426410771255,2026-05-06T16:09:32
rl,naive,5,1,avg_episode_reward,6038.492342804153,2026-05-06T16:12:15
rl,naive,5,1,cumulative_profit,466755024.9035378,2026-05-06T16:12:15
rl,naive,5,1,pricing_regret,31.781927526808417,2026-05-06T16:12:15
rl,naive,5,2,avg_episode_reward,7822.157649179469,2026-05-06T16:12:23
rl,naive,5,2,cumulative_profit,459335409.9906349,2026-05-06T16:12:23
rl,naive,5,2,pricing_regret,21.77982886667227,2026-05-06T16:12:23
rl,naive,5,3,avg_episode_reward,6133.103793223947,2026-05-06T16:12:29
rl,naive,5,3,cumulative_profit,520458990.4107316,2026-05-06T16:12:29
rl,naive,5,3,pricing_regret,35.09109830937478,2026-05-06T16:12:29
rl,naive,5,4,avg_episode_reward,7854.580848744578,2026-05-06T16:12:37
rl,naive,5,4,cumulative_profit,493371450.12235427,2026-05-06T16:12:37
rl,naive,5,4,pricing_regret,24.11688460089758,2026-05-06T16:12:37
rl,naive,5,5,avg_episode_reward,6058.135094034964,2026-05-06T16:12:43
rl,naive,5,5,cumulative_profit,549531579.6224897,2026-05-06T16:12:43
rl,naive,5,5,pricing_regret,38.343648162992245,2026-05-06T16:12:43
rl,naive,6,1,avg_episode_reward,6045.360793043337,2026-05-06T16:15:25
rl,naive,6,1,cumulative_profit,451857860.3069757,2026-05-06T16:15:25
rl,naive,6,1,pricing_regret,31.77690705864301,2026-05-06T16:15:25
rl,naive,6,2,avg_episode_reward,7846.984699941267,2026-05-06T16:15:33
rl,naive,6,2,cumulative_profit,427402913.24909985,2026-05-06T16:15:33
rl,naive,6,2,pricing_regret,21.767045782017735,2026-05-06T16:15:33
rl,naive,6,3,avg_episode_reward,6140.602293468657,2026-05-06T16:15:38
rl,naive,6,3,cumulative_profit,512634092.85326743,2026-05-06T16:15:38
rl,naive,6,3,pricing_regret,35.08568327993671,2026-05-06T16:15:38
rl,naive,6,4,avg_episode_reward,7876.929549574663,2026-05-06T16:15:46
rl,naive,6,4,cumulative_profit,457817701.3720872,2026-05-06T16:15:46
rl,naive,6,4,pricing_regret,24.105426410771255,2026-05-06T16:15:46
rl,naive,6,5,avg_episode_reward,6064.534694410329,2026-05-06T16:15:52
rl,naive,6,5,cumulative_profit,539129972.0613213,2026-05-06T16:15:52
rl,naive,6,5,pricing_regret,38.33898032848575,2026-05-06T16:15:52
rl,naive,6,6,avg_episode_reward,7937.5941027902645,2026-05-06T16:16:00
rl,naive,6,6,cumulative_profit,510318077.0247792,2026-05-06T16:16:00
rl,naive,6,6,pricing_regret,26.641744337111092,2026-05-06T16:16:00
rl,ewc,1,1,avg_episode_reward,5900.182236097908,2026-05-06T16:18:46
rl,ewc,1,1,cumulative_profit,462044982.3902156,2026-05-06T16:18:46
rl,ewc,1,1,pricing_regret,31.883263472243474,2026-05-06T16:18:46
rl,ewc,2,1,avg_episode_reward,5962.0203906402585,2026-05-06T16:21:33
rl,ewc,2,1,cumulative_profit,490385165.1053907,2026-05-06T16:21:33
rl,ewc,2,1,pricing_regret,31.837968896218456,2026-05-06T16:21:33
rl,ewc,2,2,avg_episode_reward,7776.283698352066,2026-05-06T16:21:41
rl,ewc,2,2,cumulative_profit,496771119.85528594,2026-05-06T16:21:41
rl,ewc,2,2,pricing_regret,21.80349899078815,2026-05-06T16:21:41
