model_type,cl_method,train_task_id,eval_task_id,eval_phase,metric_name,metric_value,timestamp
forecasting,ewc,5,3,seen,rmse,484.701904296875,2026-06-04T22:08:47
forecasting,ewc,5,4,seen,mase,5.84397907124568,2026-06-04T22:08:57
forecasting,ewc,5,4,seen,smape,75.59601664543152,2026-06-04T22:08:57
forecasting,ewc,5,4,seen,rmse,380.4480285644531,2026-06-04T22:08:57
forecasting,ewc,5,5,seen,mase,0.8421604641136055,2026-06-04T22:09:04
forecasting,ewc,5,5,seen,smape,66.3794994354248,2026-06-04T22:09:04
forecasting,ewc,5,5,seen,rmse,452.08331298828125,2026-06-04T22:09:04
forecasting,ewc,5,6,future,mase,4.825069518333466,2026-06-04T22:09:14
forecasting,ewc,5,6,future,smape,73.37148189544678,2026-06-04T22:09:14
forecasting,ewc,5,6,future,rmse,388.72320556640625,2026-06-04T22:09:14
forecasting,ewc,6,1,seen,mase,0.6593017960614705,2026-06-04T22:11:38
forecasting,ewc,6,1,seen,smape,55.64742684364319,2026-06-04T22:11:38
forecasting,ewc,6,1,seen,rmse,405.1827087402344,2026-06-04T22:11:38
forecasting,ewc,6,2,seen,mase,5.492015733547231,2026-06-04T22:11:48
forecasting,ewc,6,2,seen,smape,77.21477150917053,2026-06-04T22:11:48
forecasting,ewc,6,2,seen,rmse,357.1591796875,2026-06-04T22:11:48
forecasting,ewc,6,3,seen,mase,0.9133114506946387,2026-06-04T22:11:55
forecasting,ewc,6,3,seen,smape,69.34377551078796,2026-06-04T22:11:55
forecasting,ewc,6,3,seen,rmse,526.719970703125,2026-06-04T22:11:55
forecasting,ewc,6,4,seen,mase,7.08577089459642,2026-06-04T22:12:06
forecasting,ewc,6,4,seen,smape,81.00489974021912,2026-06-04T22:12:06
forecasting,ewc,6,4,seen,rmse,462.32568359375,2026-06-04T22:12:06
forecasting,ewc,6,5,seen,mase,0.9689466211333638,2026-06-04T22:12:13
forecasting,ewc,6,5,seen,smape,70.45403122901917,2026-06-04T22:12:13
forecasting,ewc,6,5,seen,rmse,507.3545837402344,2026-06-04T22:12:13
forecasting,ewc,6,6,seen,mase,5.987338956205788,2026-06-04T22:12:23
forecasting,ewc,6,6,seen,smape,78.9122462272644,2026-06-04T22:12:23
forecasting,ewc,6,6,seen,rmse,487.13897705078125,2026-06-04T22:12:23
forecasting,replay,1,1,seen,mase,0.5307674019518094,2026-06-04T22:14:57
forecasting,replay,1,1,seen,smape,50.00863075256348,2026-06-04T22:14:57
forecasting,replay,1,1,seen,rmse,280.8103332519531,2026-06-04T22:14:57
forecasting,replay,1,2,future,mase,7.409776771838266,2026-06-04T22:15:08
forecasting,replay,1,2,future,smape,87.80303001403809,2026-06-04T22:15:08
forecasting,replay,1,2,future,rmse,445.84503173828125,2026-06-04T22:15:08
forecasting,replay,1,3,future,mase,1.2104699584206415,2026-06-04T22:15:16
forecasting,replay,1,3,future,smape,80.86806535720825,2026-06-04T22:15:16
forecasting,replay,1,3,future,rmse,599.7970581054688,2026-06-04T22:15:16
forecasting,replay,1,4,future,mase,8.233286622391716,2026-06-04T22:15:26
forecasting,replay,1,4,future,smape,89.21515941619873,2026-06-04T22:15:26
forecasting,replay,1,4,future,rmse,498.2884216308594,2026-06-04T22:15:26
forecasting,replay,1,5,future,mase,1.2481349052306512,2026-06-04T22:15:33
forecasting,replay,1,5,future,smape,79.83251810073853,2026-06-04T22:15:33
forecasting,replay,1,5,future,rmse,651.6312255859375,2026-06-04T22:15:33
forecasting,replay,1,6,future,mase,6.42646452922466,2026-06-04T22:15:44
forecasting,replay,1,6,future,smape,86.82639002799988,2026-06-04T22:15:44
forecasting,replay,1,6,future,rmse,483.6853332519531,2026-06-04T22:15:44
forecasting,replay,2,1,seen,mase,0.7996021141675151,2026-06-04T22:18:18
forecasting,replay,2,1,seen,smape,65.68470001220703,2026-06-04T22:18:18
forecasting,replay,2,1,seen,rmse,564.7322387695312,2026-06-04T22:18:18
forecasting,replay,2,2,seen,mase,27.361458982217737,2026-06-04T22:18:28
forecasting,replay,2,2,seen,smape,123.11708927154541,2026-06-04T22:18:28
forecasting,replay,2,2,seen,rmse,2095.5146484375,2026-06-04T22:18:28
forecasting,replay,2,3,future,mase,4.805432140863902,2026-06-04T22:18:36
forecasting,replay,2,3,future,smape,126.24319791793823,2026-06-04T22:18:36
forecasting,replay,2,3,future,rmse,2572.5087890625,2026-06-04T22:18:36
forecasting,replay,2,4,future,mase,24.931645872541527,2026-06-04T22:18:46
forecasting,replay,2,4,future,smape,132.3242425918579,2026-06-04T22:18:46
forecasting,replay,2,4,future,rmse,1658.8082275390625,2026-06-04T22:18:46
forecasting,replay,2,5,future,mase,3.0996874004562764,2026-06-04T22:18:54
forecasting,replay,2,5,future,smape,118.22516918182373,2026-06-04T22:18:54
forecasting,replay,2,5,future,rmse,1632.62353515625,2026-06-04T22:18:54
forecasting,replay,2,6,future,mase,16.056834668948994,2026-06-04T22:19:04
forecasting,replay,2,6,future,smape,123.59576225280762,2026-06-04T22:19:04
forecasting,replay,2,6,future,rmse,1269.52392578125,2026-06-04T22:19:04
forecasting,replay,3,1,seen,mase,0.5768092433447815,2026-06-04T22:20:25
forecasting,replay,3,1,seen,smape,45.6485778093338,2026-06-04T22:20:25
forecasting,replay,3,1,seen,rmse,546.564208984375,2026-06-04T22:20:25
forecasting,replay,3,2,seen,mase,6.134236495698866,2026-06-04T22:20:36
forecasting,replay,3,2,seen,smape,57.58090615272522,2026-06-04T22:20:36
forecasting,replay,3,2,seen,rmse,812.33740234375,2026-06-04T22:20:36
forecasting,replay,3,3,seen,mase,2.331845516578052,2026-06-04T22:20:43
forecasting,replay,3,3,seen,smape,79.85318303108215,2026-06-04T22:20:43
forecasting,replay,3,3,seen,rmse,1558.4371337890625,2026-06-04T22:20:43
forecasting,replay,3,4,future,mase,7.7739448715890385,2026-06-04T22:20:53
forecasting,replay,3,4,future,smape,80.62525391578674,2026-06-04T22:20:53
forecasting,replay,3,4,future,rmse,682.1533813476562,2026-06-04T22:20:53
forecasting,replay,3,5,future,mase,1.292007668269989,2026-06-04T22:21:01
forecasting,replay,3,5,future,smape,81.34307861328125,2026-06-04T22:21:01
forecasting,replay,3,5,future,rmse,893.1614990234375,2026-06-04T22:21:01
forecasting,replay,3,6,future,mase,4.149197498321789,2026-06-04T22:21:11
forecasting,replay,3,6,future,smape,73.32708239555359,2026-06-04T22:21:11
forecasting,replay,3,6,future,rmse,314.3262634277344,2026-06-04T22:21:11
forecasting,replay,4,1,seen,mase,0.8271924919316482,2026-06-04T22:23:04
forecasting,replay,4,1,seen,smape,61.01449728012085,2026-06-04T22:23:04
forecasting,replay,4,1,seen,rmse,618.50732421875,2026-06-04T22:23:04
forecasting,replay,4,2,seen,mase,17.898670474640365,2026-06-04T22:23:14
forecasting,replay,4,2,seen,smape,108.96768569946289,2026-06-04T22:23:14
forecasting,replay,4,2,seen,rmse,1461.9747314453125,2026-06-04T22:23:14
forecasting,replay,4,3,seen,mase,3.2265426518960103,2026-06-04T22:23:21
forecasting,replay,4,3,seen,smape,118.30083131790161,2026-06-04T22:23:21
forecasting,replay,4,3,seen,rmse,1789.7093505859375,2026-06-04T22:23:21
forecasting,replay,4,4,seen,mase,19.544953412067784,2026-06-04T22:23:32
forecasting,replay,4,4,seen,smape,122.0502495765686,2026-06-04T22:23:32
forecasting,replay,4,4,seen,rmse,1360.7823486328125,2026-06-04T22:23:32
forecasting,replay,4,5,future,mase,2.362534554859854,2026-06-04T22:23:39
forecasting,replay,4,5,future,smape,106.40438795089722,2026-06-04T22:23:39
forecasting,replay,4,5,future,rmse,1296.855712890625,2026-06-04T22:23:39
forecasting,replay,4,6,future,mase,12.678581494419497,2026-06-04T22:23:49
forecasting,replay,4,6,future,smape,110.7324481010437,2026-06-04T22:23:49
forecasting,replay,4,6,future,rmse,1020.0169067382812,2026-06-04T22:23:49
forecasting,replay,5,1,seen,mase,0.422681153189027,2026-06-04T22:25:18
forecasting,replay,5,1,seen,smape,40.09203016757965,2026-06-04T22:25:18
forecasting,replay,5,1,seen,rmse,267.9790344238281,2026-06-04T22:25:18
forecasting,replay,5,2,seen,mase,5.035680168951859,2026-06-04T22:25:28
forecasting,replay,5,2,seen,smape,63.89800310134888,2026-06-04T22:25:28
forecasting,replay,5,2,seen,rmse,408.23248291015625,2026-06-04T22:25:28
forecasting,replay,5,3,seen,mase,1.6083762786432059,2026-06-04T22:25:36
forecasting,replay,5,3,seen,smape,75.83706974983215,2026-06-04T22:25:36
forecasting,replay,5,3,seen,rmse,1031.9949951171875,2026-06-04T22:25:36
forecasting,replay,5,4,seen,mase,9.089855592937912,2026-06-04T22:25:46
forecasting,replay,5,4,seen,smape,85.8067274093628,2026-06-04T22:25:46
forecasting,replay,5,4,seen,rmse,617.9481201171875,2026-06-04T22:25:46
forecasting,replay,5,5,seen,mase,1.3647692564366916,2026-06-04T22:25:53
forecasting,replay,5,5,seen,smape,80.40265440940857,2026-06-04T22:25:53
forecasting,replay,5,5,seen,rmse,872.231689453125,2026-06-04T22:25:53
forecasting,replay,5,6,future,mase,6.597762553786396,2026-06-04T22:26:04
forecasting,replay,5,6,future,smape,83.49400162696838,2026-06-04T22:26:04
forecasting,replay,5,6,future,rmse,513.0883178710938,2026-06-04T22:26:04
